id,code,title,category,subcategory,tags,originalFile,image
drop_0061,103011,指,人・動植物,からだ,指、人・動植物、からだ、103011、体、ゆび、身体、人物、人、ひと、生き物,ドロップス/103011指.gif,assets/images/drop_0061.gif
drop_0062,103012,足,人・動植物,からだ,足、人・動植物、からだ、103012、体、身体、あし、人物、人、ひと、生き物,ドロップス/103012足.gif,assets/images/drop_0062.gif
drop_0063,103013,膝,人・動植物,からだ,膝、人・動植物、からだ、103013、体、ひざ、身体、人物、人、ひと、生き物,ドロップス/103013膝.gif,assets/images/drop_0063.gif
drop_0064,103014,腹,人・動植物,からだ,腹、人・動植物、からだ、103014、おなか、お腹、身体、体、人物、人、ひと、生き物,ドロップス/103014腹.gif,assets/images/drop_0064.gif
drop_0065,103015,背中,人・動植物,からだ,背中、人・動植物、からだ、103015、体、せなか、身体、人物、人、ひと、生き物,ドロップス/103015背中.gif,assets/images/drop_0065.gif
drop_0066,103016,尻,人・動植物,からだ,尻、人・動植物、からだ、103016、体、おしり、身体、人物、人、ひと、生き物,ドロップス/103016尻.gif,assets/images/drop_0066.gif
drop_0067,103017,心臓,人・動植物,からだ,心臓、人・動植物、からだ、103017、体、身体、しんぞう、人物、人、ひと、生き物,ドロップス/103017心臓.gif,assets/images/drop_0067.gif
drop_0068,103018,血,人・動植物,からだ,血、人・動植物、からだ、103018、身体、ち、体、血液、人物、人、ひと、生き物,ドロップス/103018血.gif,assets/images/drop_0068.gif
drop_0069,103019,身体(総称),人・動植物,からだ,身体(総称)、身体、総称、人・動植物、からだ、103019、体、人物、人、ひと、生き物,ドロップス/103019身体(総称).gif,assets/images/drop_0069.gif
drop_0070,103020,頭,人・動植物,からだ,頭、人・動植物、からだ、103020、体、あたま、身体、人物、人、ひと、生き物,ドロップス/103020頭.gif,assets/images/drop_0070.gif
drop_0071,103021,肩,人・動植物,からだ,肩、人・動植物、からだ、103021、身体、体、人物、人、ひと、生き物,ドロップス/103021肩.gif,assets/images/drop_0071.gif
drop_0072,103023,腰,人・動植物,からだ,腰、人・動植物、からだ、103023、身体、体、人物、人、ひと、生き物,ドロップス/103023腰.gif,assets/images/drop_0072.gif
drop_0073,103025,舌,人・動植物,からだ,舌、人・動植物、からだ、103025、身体、体、人物、人、ひと、生き物,ドロップス/103025舌.gif,assets/images/drop_0073.gif
drop_0074,103026,喉,人・動植物,からだ,喉、人・動植物、からだ、103026、身体、体、人物、人、ひと、生き物,ドロップス/103026喉.gif,assets/images/drop_0074.gif
drop_0075,103029,胸,人・動植物,からだ,胸、人・動植物、からだ、103029、身体、体、人物、人、ひと、生き物,ドロップス/103029胸.gif,assets/images/drop_0075.gif
drop_0076,103030,ひじ,人・動植物,からだ,ひじ、人・動植物、からだ、103030、身体、体、人物、人、ひと、生き物,ドロップス/103030ひじ.gif,assets/images/drop_0076.gif
drop_0077,103031,爪,人・動植物,からだ,爪、人・動植物、からだ、103031、身体、体、人物、人、ひと、生き物,ドロップス/103031爪.gif,assets/images/drop_0077.gif
drop_0078,103032,かかと,人・動植物,からだ,かかと、かか、人・動植物、からだ、103032、身体、体、人物、人、ひと、生き物,ドロップス/103032かかと.gif,assets/images/drop_0078.gif
drop_0079,104001,犬,人・動植物,動物,犬、人・動植物、動物、104001、ドッグ、いぬ、人物、人、ひと、生き物,ドロップス/104001犬.gif,assets/images/drop_0079.gif
drop_0080,104002,猫,人・動植物,動物,猫、人・動植物、動物、104002、キャット、ねこ、人物、人、ひと、生き物,ドロップス/104002猫.gif,assets/images/drop_0080.gif
drop_0081,104003,魚,人・動植物,動物,魚、人・動植物、動物、104003、さかな、人物、人、ひと、生き物,ドロップス/104003魚.gif,assets/images/drop_0081.gif
drop_0082,104004,鳥,人・動植物,動物,鳥、人・動植物、動物、104004、とり、人物、人、ひと、生き物,ドロップス/104004鳥.gif,assets/images/drop_0082.gif
